RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,subsidies_package,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,IncomeDistribution,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
0,0,0,1000,80,harvey,watts_strogatz,0,0,0.0,79029320.93836121,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1000,80,harvey,watts_strogatz,0,158,71983829.05659962,76132067.72962402,228750,0,Base,35482.144422803794,67107.01742613311,180261.91230205467,7.332050341119943,2.315587174692558,2.098274748219472
1,0,0,1000,80,harvey,watts_strogatz,1,0,0.0,75313817.70026582,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1000,80,harvey,watts_strogatz,1,178,0.0,72329093.08478215,156880,98030,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,1000,80,harvey,watts_strogatz,1,264,0.0,71022265.95074649,291626,169644,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,1000,80,harvey,watts_strogatz,1,289,0.0,70693410.53486507,346017,198108,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,1000,80,harvey,watts_strogatz,1,299,0.0,70494264.29454888,373121,211784,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,5,1000,80,harvey,watts_strogatz,1,306,0.0,70387680.63044879,385894,218226,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,6,1000,80,harvey,watts_strogatz,1,309,0.0,70256955.59785873,440547,269493,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,7,1000,80,harvey,watts_strogatz,1,313,0.0,70178071.99374864,513154,335666,Base,0.0,0.0,0.0,0.0,0.0,0.0
1,0,8,1000,80,harvey,watts_strogatz,1,318,66232554.481939085,70023066.7742334,560274,375156,Base,32965.50832787008,67539.45998155847,151632.12381977786,6.471510802384665,2.3229518439215537,1.8392030185242099
2,0,0,1000,80,harvey,watts_strogatz,2,0,0.0,81711148.65944897,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,1,1000,80,harvey,watts_strogatz,2,200,0.0,77876078.92910789,214362,68808,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,2,1000,80,harvey,watts_strogatz,2,283,0.0,75405615.33214858,488677,126558,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,3,1000,80,harvey,watts_strogatz,2,303,0.0,74064211.83205508,637311,139684,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,4,1000,80,harvey,watts_strogatz,2,310,0.0,73125089.9655195,773269,140041,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,5,1000,80,harvey,watts_strogatz,2,317,0.0,72530376.45546429,851389,148291,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,6,1000,80,harvey,watts_strogatz,2,319,0.0,72465097.66614257,858339,152801,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,7,1000,80,harvey,watts_strogatz,2,321,0.0,72064686.11528406,890549,155031,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,8,1000,80,harvey,watts_strogatz,2,324,0.0,71735896.49931139,946439,188586,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,9,1000,80,harvey,watts_strogatz,2,324,0.0,71735896.49931139,946439,188586,Base,0.0,0.0,0.0,0.0,0.0,0.0
2,0,10,1000,80,harvey,watts_strogatz,2,331,0.0,71492904.33138877,1108979,363681,Base,0.0,0.0,0.0,0.0,0.0,0.0
