RunId,iteration,Step,number_of_households,number_of_steps,flood_map_choice,network,income_distribution,TotalAdaptedHouseholds,TotalActualDamage,TotalExpectedDamage,TotalAdaptationCosts,TotalCostsOfSubsidies,IncomeDistribution,AverageDamagePerPoorHousehold,AverageDamagePerMiddleClassHousehold,AverageDamagePerRichHousehold,AverageIncomeToDamagePoorHousehold,AverageIncomeToDamageMiddleClassHousehold,AverageIncomeToDamageRichHousehold
0,0,0,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",0,0.0,76005953.19752829,0,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",200,0.0,72079998.22346605,266700,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,2,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",355,0.0,66380993.03987571,786755,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,3,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",456,0.0,60842121.57383776,1314385,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,4,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",512,0.0,57372869.47084797,1658115,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,5,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",538,0.0,56061783.84490807,1780970,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,6,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",550,0.0,55363497.770248435,1862240,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,7,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",560,0.0,55067528.59684202,1971425,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,8,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",571,0.0,54517140.651911974,2025575,0,Base,0.0,0.0,0.0,0.0,0.0,0.0
0,0,9,1000,80,harvey,watts_strogatz,"{'Poor': [5000, 1875], 'Middle-Class': [29375, 10312], 'Rich': [87500, 18750]}",582,50926332.73004985,54144078.939282335,2060555,0,Base,28223.862332402154,50066.59283999667,115914.31265057098,5.417286878641319,1.6637111870596017,1.3213763107700318
1,0,0,1000,80,harvey,watts_strogatz,"{'Poor': [5500, 1875], 'Middle-Class': [32312.5, 10321], 'Rich': [96250, 18750]}",0,0.0,80049263.6343657,0,0,Plus10,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,1000,80,harvey,watts_strogatz,"{'Poor': [5500, 1875], 'Middle-Class': [32312.5, 10321], 'Rich': [96250, 18750]}",164,0.0,76327495.9638656,263465,0,Plus10,0.0,0.0,0.0,0.0,0.0,0.0
1,0,2,1000,80,harvey,watts_strogatz,"{'Poor': [5500, 1875], 'Middle-Class': [32312.5, 10321], 'Rich': [96250, 18750]}",311,0.0,70132472.68075065,865015,0,Plus10,0.0,0.0,0.0,0.0,0.0,0.0
1,0,3,1000,80,harvey,watts_strogatz,"{'Poor': [5500, 1875], 'Middle-Class': [32312.5, 10321], 'Rich': [96250, 18750]}",403,0.0,64441034.826294504,1491245,0,Plus10,0.0,0.0,0.0,0.0,0.0,0.0
1,0,4,1000,80,harvey,watts_strogatz,"{'Poor': [5500, 1875], 'Middle-Class': [32312.5, 10321], 'Rich': [96250, 18750]}",450,0.0,61995464.13490094,1759565,0,Plus10,0.0,0.0,0.0,0.0,0.0,0.0
